"","gname","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","ingroup","guncertain1","nperps","nperpcap","claimed","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","ransom","Assasination","Hostage","Bombing","Facility","Assault","Unknowntype","barricade","unarmedattack","Hijack","Biological","Chemical","Radiological","Nuclear","Firearm","Explosives","Fakeweapons","Incendiary","Melee","Vehicle","Sabotage","Otherweapons","Unknownweapon","NorthAm","CentralAm","SouthEastAsia","EastAsia","WesternEurope","Subsaharan","SouthAm","SouthAsia","CentralAsia","MiddleEast","Oceania","EasternEurope","nhrs","ndays","Business","Government","Police","Military","Abortionrelated","Airports","Diplomatic","Educational","Food","Journalist","Maritime","NGO","Othertarg","PrivateCitizen","Religious","Telecom","Terrorists","Tourist","Transportation","Unknowntarg","Utilities","PoliticalParty"
"982","Earth Liberation Front (ELF)",5,72,72,72,0,12,63,0,20147,14,-1691,-1105,48,0,0,0,1,0,1,62,0,0,0,7,65,0,0,0,0,0,0,0,0,0,0,3,0,66,0,0,3,0,0,70,0,0,0,1,0,1,0,0,0,0,0,0,0,38,7,1,1,0,0,0,5,0,0,1,0,0,17,0,1,0,0,0,0,1,0
"983","Earth Night Action Group",0,1,1,1,0,0,1,0,10058,0,-99,-99,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"984","East Asia Anti Japanese Armed Front",0,12,12,12,0,0,12,0,3743,0,23,0,0,2,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"985","East Side Action Committee",0,1,1,1,0,0,0,0,4523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"986","East Timorese Activists",1,15,15,15,-108,0,14,0,750,0,453,0,0,23,0,0,27,0,0,10,0,3,1,3,1,0,5,1,0,1,0,0,0,0,1,2,0,1,2,0,0,0,9,0,0,12,0,1,0,1,0,0,0,1,0,0,0,2,1,3,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0
"987","East Turkistan Liberation Organization",0,0,1,1,1,0,1,0,20148,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"988","Eastern Turkistan Islamic Movement (ETIM)",0,8,8,8,0,2,8,2,30022,1,-385,2,5,113,0,7,134,0,1,-23,0,0,0,2,1,4,0,0,1,0,0,0,0,0,0,2,0,2,3,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
"989","Ecology and Antinuclear Revolutionary Party (CRAE)",0,1,1,1,0,0,1,0,4197,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"990","Economic Freedom Fighters",0,7,7,7,0,7,7,0,40340,0,112,112,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"991","Ecuadorian Communist Youth",0,1,1,1,-9,0,1,0,4794,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
