"","gname","vicinity","crit1","crit2","crit3","doubtterr","multiple","success","suicide","ingroup","guncertain1","nperps","nperpcap","claimed","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","ransom","Assasination","Hostage","Bombing","Facility","Assault","Unknowntype","barricade","unarmedattack","Hijack","Biological","Chemical","Radiological","Nuclear","Firearm","Explosives","Fakeweapons","Incendiary","Melee","Vehicle","Sabotage","Otherweapons","Unknownweapon","NorthAm","CentralAm","SouthEastAsia","EastAsia","WesternEurope","Subsaharan","SouthAm","SouthAsia","CentralAsia","MiddleEast","Oceania","EasternEurope","nhrs","ndays","Business","Government","Police","Military","Abortionrelated","Airports","Diplomatic","Educational","Food","Journalist","Maritime","NGO","Othertarg","PrivateCitizen","Religious","Telecom","Terrorists","Tourist","Transportation","Unknowntarg","Utilities","PoliticalParty"
"1","1 May",0,10,10,10,0,2,9,0,1694,1,3,0,0,2,0,0,0,0,0,8,0,4,0,6,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","14 K Triad",0,4,4,4,0,3,4,0,20000,4,24,32,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"3","14 March Coalition",0,1,0,1,1,0,1,0,30000,1,-99,0,0,5,0,0,80,0,0,-9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4","14th of December Command",0,3,3,3,0,0,3,0,2176,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"5","15th of September Liberation Legion",0,1,1,1,0,0,1,0,4085,0,9,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6","16 January Organization for the Liberation of Tripoli",0,24,24,0,24,0,24,0,270,0,0,0,0,1,0,0,32,0,0,24,0,0,0,4,0,20,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","1920 Revolution Brigades",0,2,2,2,0,0,2,1,20003,2,1,0,2,15,0,1,19,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"8","19th of July Christian Resistance Brigade",0,1,1,0,1,0,1,0,3422,0,30,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","1st of May Group",0,4,4,4,0,0,2,0,3848,0,3,0,0,0,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2 April Group",0,6,6,5,1,0,2,0,3887,2,0,0,0,0,0,0,1,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","20 December Movement (M-20)",1,16,16,15,1,0,12,0,272,0,1,0,0,1,0,1,14,0,0,15,0,1,0,13,2,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0
"12","22 May 1948",0,1,1,1,0,0,1,0,3663,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"13","23 May Democratic Alliance (Algeria)",2,3,3,3,0,0,3,0,30082,3,-297,0,0,1,0,0,0,0,0,-9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,-193,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"14","23rd of September Communist League",0,44,44,44,0,0,42,0,3330,1,71,0,0,72,1,1,14,0,0,17,10,4,12,2,0,25,1,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,12,44,0,0,0,0,0,0,0,0,0,0,0,0,36,22,4,12,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"15","28 February Armed Group",0,1,1,1,0,0,0,0,3321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"16","28 May Armenian Organization",0,2,2,2,0,0,2,0,3790,0,0,0,0,5,0,0,52,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"17","28s",0,1,1,1,1,0,1,0,20004,1,0,0,0,0,0,0,0,0,0,-9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18","28th of December Group",0,2,2,2,0,0,2,0,3860,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2nd of June Movement",0,14,14,14,0,0,12,0,3519,0,14,0,0,5,0,0,3,0,0,7,1,2,2,3,0,7,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,1,0,7,4,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"20","31 January People's Front (FP-31)",0,17,17,17,0,10,17,0,3493,0,21,0,0,0,0,0,20,0,0,5,0,0,2,12,2,1,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,30,0,2,1,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0
"21","313 Brigade (Syria)",1,3,1,3,2,2,3,0,40153,0,-297,0,3,0,0,0,53,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"22","4 August National Organization",0,2,2,2,0,0,2,0,2901,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","7 April Libyan Organization",0,3,3,3,0,0,3,0,2880,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"24","9 February",0,21,21,3,18,2,21,0,2279,0,0,0,0,11,0,0,15,0,0,21,0,0,0,17,0,4,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"25","9 May People's Liberation Force",0,4,4,4,0,0,4,0,2331,0,0,0,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"26","A'chik Matgrik Elite Force (AMEF)",0,5,5,5,0,0,4,0,40399,2,-189,5,0,0,0,0,2,0,0,3,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,-99,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"27","A Resistance Group",0,1,1,1,-9,0,1,0,4726,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Aba Cheali Group",0,1,1,1,0,0,1,0,40176,0,-99,0,0,4,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Abd al-Krim Commandos",0,2,2,2,0,0,2,0,4124,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Abdul Ghani Kikli Militia",0,1,1,1,0,0,1,0,40436,0,-99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"31","Abdul Qader Husseini Battalions of the Free Palestine movement",0,1,1,1,0,0,1,0,40127,0,-99,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"32","Abdullah Azzam Brigades",4,25,25,22,4,11,22,7,20005,0,-1469,-95,25,168,1,11,427,0,0,-2,0,1,0,23,0,1,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,0,0,0,1,1,1,5,0,0,2,1,0,0,1,0,1,7,0,0,1,1,0,3,0,0
"33","Abida Tribe",1,3,3,3,1,0,3,0,20006,1,-198,0,2,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"34","Abkhazian guerrillas",0,2,2,1,1,0,2,0,4782,1,-99,0,0,15,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"35","Abkhazian Separatists",0,5,4,3,3,0,5,0,274,1,-99,0,0,58,0,0,42,0,0,-6,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"36","Abstentionist Brigades",0,2,2,2,0,0,2,0,3448,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Abu Bakr Unis Jabr Brigade",0,1,1,1,0,0,1,0,40220,1,-99,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Abu Hafs al-Masri Brigades",0,11,11,11,0,10,9,1,20007,6,1,174,11,198,0,1,1835,2,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"39","Abu Hassan",0,1,1,1,0,0,1,0,3135,0,0,0,0,2,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Abu Jaafar al-Mansur Brigades",0,1,1,0,1,0,1,0,40223,0,-99,0,1,0,0,0,2,0,0,-9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Abu Musa Group",1,1,1,0,1,0,1,0,2654,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Abu Nidal Organization (ANO)",1,51,41,48,13,0,42,0,275,4,58,0,1,278,11,5,499,24,4,20,0,23,4,17,0,2,0,2,0,3,0,0,0,0,33,16,0,0,0,0,0,0,2,0,0,0,0,16,0,0,3,0,32,0,0,16,29,6,1,0,4,0,7,8,0,0,0,2,2,0,4,1,0,11,0,1,0,0,4
"43","Abu Obaida bin Jarrah Brigade",2,5,5,5,0,4,5,0,40363,0,-495,0,1,0,0,0,0,0,0,-36,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"44","Abu Salim Martyr's Brigade",0,1,1,1,0,0,1,0,40290,0,-99,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"45","Abu Sayyaf Group (ASG)",37,401,402,359,53,35,360,3,276,162,-14918,32,-23,696,1,103,1490,1,35,-211,-169,13,136,170,4,75,2,2,0,0,0,0,0,0,176,179,0,7,13,0,0,0,27,0,0,402,0,0,0,0,0,0,0,0,0,-721,4570,79,42,23,65,0,2,0,20,2,7,5,7,1,95,19,1,0,9,15,9,1,0
"46","Abu Tira (Central Reserve Forces)",0,1,1,1,0,0,1,0,40216,0,-99,0,0,2,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"47","Aceh Singkil Islamic Care Youth Students Association (PPI)",0,3,3,3,0,3,3,0,40500,0,60,9,0,1,0,1,4,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"48","Achik National Cooperative Army (ANCA)",2,4,4,4,0,0,4,0,40310,2,-295,0,2,2,0,0,7,0,0,-8,2,0,2,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,-99,-99,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"49","Achik National Liberation Army (ANLA)",0,3,3,3,0,0,3,0,40228,1,-297,0,0,1,0,0,0,0,0,0,-8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,-99,-91,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"50","Achik National Volunteer Council-B (ANVC-B)",0,9,9,8,1,0,7,0,40099,2,-380,1,2,5,0,0,4,0,0,-7,-18,0,4,1,1,2,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,-99,-91,3,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
"51","Achik National Volunteer Council (ANVC)",1,1,1,1,0,0,1,0,20008,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Achik Songna An'pachakgipa Kotok (ASAK)",0,8,9,9,1,0,9,0,40256,1,-271,0,1,1,0,1,1,0,0,0,-3,0,8,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,-133,2,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"53","Achik Tiger Force",0,1,1,1,0,0,1,0,40219,0,-99,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Achwan-I-Mushbani",1,1,1,1,0,0,0,0,2153,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"55","Actiefront Nationalistisch Nederland",0,2,2,2,0,0,2,0,2504,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"56","Action Directe",0,55,55,53,2,5,54,0,351,3,11,0,0,6,0,0,76,0,0,51,0,3,1,45,1,3,2,0,0,0,0,0,0,0,8,44,0,0,0,0,0,0,3,1,0,0,0,54,0,0,0,0,0,0,0,0,0,23,12,4,3,0,2,2,0,0,3,0,2,0,2,0,1,0,0,0,0,1,0
"57","Action Front for the Liberation of the Baltic Countries",0,2,2,2,0,0,2,0,100004,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Action Front Nationalist Librium",0,1,1,1,0,0,1,0,2503,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Action Group for Communism",0,1,1,1,0,0,1,0,3909,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Action Group for the Destruction of the Police State",0,1,1,1,0,0,1,0,3367,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Action Squad",0,1,1,1,0,0,1,0,100047,0,-99,-99,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"62","Action Struggle Against the World",0,1,1,1,0,0,1,0,2761,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"63","Active Espirit de Corps of the Argentina Army",0,1,1,0,1,0,1,0,2560,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Activists",1,17,17,17,-18,12,17,0,805,10,-1158,4,2,3,0,0,20,0,0,17,0,0,0,3,10,0,4,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,4,0,0,0,0,3,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,2,0,0,0
"65","Adan-Abyan Province of the Islamic State",0,11,9,8,6,3,10,5,40462,1,-685,0,7,33,0,4,18,0,1,-24,0,1,1,6,0,3,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,-99,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1
"66","Adan Abyan Islamic Army (AAIA)",0,2,2,2,1,0,2,0,20009,1,0,0,1,2,0,0,19,0,0,-8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"67","Adivasi Cobra Militants of Assam (ACMA)",0,1,1,1,0,0,1,0,10090,1,2,0,0,0,0,0,0,0,0,0,-9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"68","Adivasi National Liberation Army (ANLA)",1,6,6,6,0,0,6,0,20010,2,-187,4,0,6,0,0,5,0,0,2,-18,0,3,2,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,-297,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"69","Adivasi People's Army (APA)",1,3,3,3,0,0,3,0,30218,1,-297,0,1,0,0,0,101,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"70","Afar rebels",0,1,1,1,-9,0,1,0,4448,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Afar Revolutionary Democratic Unity Front",1,2,2,2,0,0,2,0,20011,0,-99,0,2,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"72","AFB",0,1,1,1,0,0,1,0,4959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Afghan Guerrillas",0,8,8,8,-27,0,8,0,279,0,3,0,0,32,0,0,35,0,0,5,1,0,1,5,0,0,0,1,0,1,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0
"74","Afghan Merceneries",1,1,1,0,1,0,1,0,1395,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Afghan Mujahideen",2,7,7,4,3,2,6,0,1208,0,0,0,0,12,0,0,21,0,0,5,0,1,0,4,0,1,0,0,1,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"76","Afghan Rebels",0,3,3,2,-8,0,3,0,2250,0,0,0,0,27,0,0,13,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"77","Afghan Revolutionary Front",0,1,1,1,0,0,0,0,30268,0,-99,0,1,0,0,0,0,0,0,0,-9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
